timestamp,event_id,n_event,callback_id,application_id,service_id,value
2025-07-14 16:04:48.608172,enact,1,service_energy,case_study_1,gateway_large,598
2025-07-14 16:04:48.608181,enact,1,service_energy,case_study_1,data_gather_olbia_large,598
2025-07-14 16:04:48.608183,enact,1,service_energy,case_study_1,data_gather_torino_large,598
2025-07-14 16:04:48.608185,enact,1,service_energy,case_study_1,aggregator_large,598
2025-07-14 16:04:48.608187,enact,1,service_energy,case_study_1,mongodb_batch_olbia_medium,598
2025-07-14 16:04:48.608189,enact,1,service_energy,case_study_1,mongodb_batch_torino_medium,598
2025-07-14 16:04:48.608190,enact,1,service_energy,case_study_1,analyzer_large,598
2025-07-14 16:04:48.608192,enact,1,service_energy,case_study_1,mongodb_history_medium,598
2025-07-14 16:04:48.608259,enact,1,service_emissions,case_study_1,gateway_large,240396.0
2025-07-14 16:04:48.608263,enact,1,service_emissions,case_study_1,data_gather_olbia_large,203320.0
2025-07-14 16:04:48.608265,enact,1,service_emissions,case_study_1,data_gather_torino_large,203320.0
2025-07-14 16:04:48.608266,enact,1,service_emissions,case_study_1,aggregator_large,203320.0
2025-07-14 16:04:48.608268,enact,1,service_emissions,case_study_1,mongodb_batch_olbia_medium,215280.0
2025-07-14 16:04:48.608270,enact,1,service_emissions,case_study_1,mongodb_batch_torino_medium,215280.0
2025-07-14 16:04:48.608271,enact,1,service_emissions,case_study_1,analyzer_large,215280.0
2025-07-14 16:04:48.608273,enact,1,service_emissions,case_study_1,mongodb_history_medium,215280.0
2025-07-14 16:04:48.608769,enact,1,required_cpu,case_study_1,gateway_large,2
2025-07-14 16:04:48.608771,enact,1,required_cpu,case_study_1,data_gather_olbia_large,1
2025-07-14 16:04:48.608773,enact,1,required_cpu,case_study_1,data_gather_torino_large,1
2025-07-14 16:04:48.608775,enact,1,required_cpu,case_study_1,aggregator_large,2
2025-07-14 16:04:48.608776,enact,1,required_cpu,case_study_1,mongodb_batch_olbia_medium,1
2025-07-14 16:04:48.608778,enact,1,required_cpu,case_study_1,mongodb_batch_torino_medium,1
2025-07-14 16:04:48.608780,enact,1,required_cpu,case_study_1,analyzer_large,2
2025-07-14 16:04:48.608781,enact,1,required_cpu,case_study_1,mongodb_history_medium,2
2025-07-14 16:04:48.608839,enact,1,required_ram,case_study_1,gateway_large,4
2025-07-14 16:04:48.608842,enact,1,required_ram,case_study_1,data_gather_olbia_large,2
2025-07-14 16:04:48.608844,enact,1,required_ram,case_study_1,data_gather_torino_large,2
2025-07-14 16:04:48.608846,enact,1,required_ram,case_study_1,aggregator_large,4.0
2025-07-14 16:04:48.608848,enact,1,required_ram,case_study_1,mongodb_batch_olbia_medium,2
2025-07-14 16:04:48.608850,enact,1,required_ram,case_study_1,mongodb_batch_torino_medium,2
2025-07-14 16:04:48.608851,enact,1,required_ram,case_study_1,analyzer_large,2
2025-07-14 16:04:48.608853,enact,1,required_ram,case_study_1,mongodb_history_medium,4
2025-07-14 16:04:48.608909,enact,1,required_storage,case_study_1,gateway_large,0
2025-07-14 16:04:48.608912,enact,1,required_storage,case_study_1,data_gather_olbia_large,0
2025-07-14 16:04:48.608914,enact,1,required_storage,case_study_1,data_gather_torino_large,0
2025-07-14 16:04:48.608916,enact,1,required_storage,case_study_1,aggregator_large,0
2025-07-14 16:04:48.608917,enact,1,required_storage,case_study_1,mongodb_batch_olbia_medium,50
2025-07-14 16:04:48.608919,enact,1,required_storage,case_study_1,mongodb_batch_torino_medium,50
2025-07-14 16:04:48.608920,enact,1,required_storage,case_study_1,analyzer_large,0
2025-07-14 16:04:48.608922,enact,1,required_storage,case_study_1,mongodb_history_medium,100
2025-07-14 16:04:48.608978,enact,1,required_gpu,case_study_1,gateway_large,0
2025-07-14 16:04:48.608980,enact,1,required_gpu,case_study_1,data_gather_olbia_large,0
2025-07-14 16:04:48.608982,enact,1,required_gpu,case_study_1,data_gather_torino_large,0
2025-07-14 16:04:48.608984,enact,1,required_gpu,case_study_1,aggregator_large,0
